"scheme","variable","bucket","origin","member","weight"
"equal","gdp_growth","near",91,"ucmean",0.0909090909090909
"equal","gdp_growth","medium",91,"small_minn",0.0909090909090909
"equal","gdp_growth","medium",91,"small_ss",0.0909090909090909
"equal","gdp_growth","medium",91,"small_sv",0.0909090909090909
"equal","gdp_growth","medium",91,"small_loose_p5",0.0909090909090909
"equal","gdp_growth","medium",91,"medium_minn",0.0909090909090909
"equal","gdp_growth","medium",91,"medium_conj",0.0909090909090909
"equal","gdp_growth","medium",91,"small_tight",0.0909090909090909
"equal","gdp_growth","medium",91,"rw",0.0909090909090909
"equal","gdp_growth","medium",91,"ar4",0.0909090909090909
"equal","gdp_growth","medium",91,"ucsv",0.0909090909090909
"equal","gdp_growth","medium",91,"ucmean",0.0909090909090909
"equal","gdp_growth","far",91,"small_minn",0.0909090909090909
"equal","gdp_growth","far",91,"small_ss",0.0909090909090909
"equal","gdp_growth","far",91,"small_sv",0.0909090909090909
"equal","gdp_growth","far",91,"small_loose_p5",0.0909090909090909
"equal","gdp_growth","far",91,"medium_minn",0.0909090909090909
"equal","gdp_growth","far",91,"medium_conj",0.0909090909090909
